Number of measurement points: 71
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0352737640496343	-0.0185080282390118
1	0.1	-0.0365634360350668	-0.0185080282390118
2	0.2	-0.0365634360350668	-0.0172183562535793
3	0.3	-0.0378531080204993	-0.0185080282390118
4	0.4	-0.0352737640496343	-0.0185080282390118
5	0.5	-0.0365634360350668	-0.0185080282390118
6	0.6	-0.0352737640496343	-0.0185080282390118
7	0.7	-0.0365634360350668	-0.0172183562535793
8	0.8	-0.0352737640496343	-0.0185080282390118
9	0.9	-0.0339840920642018	-0.0185080282390118
10	1	-0.0352737640496343	-0.0185080282390118
11	1.1	-0.0352737640496343	-0.0185080282390118
12	1.2	-0.0352737640496343	-0.0185080282390118
13	1.3	-0.0378531080204993	-0.0185080282390118
14	1.4	-0.0378531080204993	-0.0185080282390118
15	1.5	-0.0352737640496343	-0.0185080282390118
16	1.6	-0.0352737640496343	-0.0185080282390118
17	1.7	-0.0365634360350668	-0.0185080282390118
18	1.8	-0.0365634360350668	-0.0185080282390118
19	1.9	-0.0352737640496343	-0.0185080282390118
20	2	-0.0339840920642018	-0.0185080282390118
21	2.1	-0.0352737640496343	-0.0185080282390118
22	2.2	-0.0365634360350668	-0.0172183562535793
23	2.3	-0.0339840920642018	-0.0172183562535793
24	2.4	-0.0365634360350668	-0.0172183562535793
25	2.5	-0.0339840920642018	-0.0172183562535793
26	2.6	-0.0352737640496343	-0.0185080282390118
27	2.7	-0.0339840920642018	-0.0185080282390118
28	2.8	-0.0365634360350668	-0.0185080282390118
29	2.9	-0.0365634360350668	-0.0172183562535793
30	3	-0.0352737640496343	-0.0185080282390118
31	3.1	-0.0352737640496343	-0.0185080282390118
32	3.2	-0.0339840920642018	-0.0185080282390118
33	3.3	-0.0352737640496343	-0.0185080282390118
34	3.4	-0.0352737640496343	-0.0185080282390118
35	3.5	-0.0365634360350668	-0.0185080282390118
36	3.6	-0.0352737640496343	-0.0185080282390118
37	3.7	-0.0365634360350668	-0.0172183562535793
38	3.8	-0.0352737640496343	-0.0185080282390118
39	3.9	-0.0339840920642018	-0.0185080282390118
40	4	-0.0352737640496343	-0.0185080282390118
41	4.1	-0.0365634360350668	-0.0185080282390118
42	4.2	-0.0352737640496343	-0.0172183562535793
43	4.3	-0.0352737640496343	-0.0172183562535793
44	4.4	-0.0352737640496343	-0.0185080282390118
45	4.5	-0.0339840920642018	-0.0172183562535793
46	4.6	-0.0352737640496343	-0.0185080282390118
47	4.7	-0.0339840920642018	-0.0185080282390118
48	4.8	-0.0352737640496343	-0.0172183562535793
49	4.9	-0.0352737640496343	-0.0185080282390118
50	5	-0.0352737640496343	-0.0172183562535793
51	5.1	-0.0352737640496343	-0.0172183562535793
52	5.2	-0.0365634360350668	-0.0185080282390118
53	5.3	-0.0352737640496343	-0.0185080282390118
54	5.4	-0.0365634360350668	-0.0172183562535793
55	5.5	-0.0378531080204993	-0.0185080282390118
56	5.6	-0.0352737640496343	-0.0185080282390118
57	5.7	-0.0352737640496343	-0.0172183562535793
58	5.8	-0.0339840920642018	-0.0185080282390118
59	5.9	-0.0365634360350668	-0.0185080282390118
60	6	-0.0352737640496343	-0.0185080282390118
61	6.1	-0.0339840920642018	-0.0172183562535793
62	6.2	-0.0365634360350668	-0.0172183562535793
63	6.3	-0.0365634360350668	-0.0185080282390118
64	6.4	-0.0339840920642018	-0.0185080282390118
65	6.5	-0.0339840920642018	-0.0185080282390118
66	6.6	-0.0352737640496343	-0.0185080282390118
67	6.7	-0.0365634360350668	-0.0172183562535793
68	6.8	-0.0352737640496343	-0.0185080282390118
69	6.9	-0.0352737640496343	-0.0185080282390118
70	7	-0.0365634360350668	-0.0185080282390118
