Number of measurement points: 3000
Sample Rate (Hz): 40
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.00174229242838919	-0.573066981974989
1	0.025	-0.00174229242838919	-0.571777309989557
2	0.05	-0.00174229242838919	-0.573066981974989
3	0.075	-0.0030319644138217	-0.573066981974989
4	0.1	-0.00174229242838919	-0.573066981974989
5	0.125	-0.00174229242838919	-0.573066981974989
6	0.15	-0.00174229242838919	-0.573066981974989
7	0.175	-0.00174229242838919	-0.573066981974989
8	0.2	-0.00174229242838919	-0.573066981974989
9	0.225	-0.00174229242838919	-0.573066981974989
10	0.25	-0.00174229242838919	-0.573066981974989
11	0.275	-0.00174229242838919	-0.573066981974989
12	0.3	-0.00174229242838919	-0.573066981974989
13	0.325	-0.000452620442956686	-0.573066981974989
14	0.35	-0.00174229242838919	-0.573066981974989
15	0.375	-0.00174229242838919	-0.573066981974989
16	0.4	-0.00174229242838919	-0.573066981974989
17	0.425	-0.00174229242838919	-0.573066981974989
18	0.45	-0.00174229242838919	-0.573066981974989
19	0.475	-0.00174229242838919	-0.573066981974989
20	0.5	-0.00174229242838919	-0.573066981974989
21	0.525	-0.00174229242838919	-0.573066981974989
22	0.55	-0.00174229242838919	-0.573066981974989
23	0.575	-0.00174229242838919	-0.573066981974989
24	0.6	-0.00174229242838919	-0.573066981974989
25	0.625	-0.00174229242838919	-0.573066981974989
26	0.65	-0.00174229242838919	-0.573066981974989
27	0.675	-0.00174229242838919	-0.571777309989557
28	0.7	-0.00174229242838919	-0.573066981974989
29	0.725	-0.00174229242838919	-0.573066981974989
30	0.75	-0.00174229242838919	-0.573066981974989
31	0.775	-0.00174229242838919	-0.573066981974989
32	0.8	-0.00174229242838919	-0.573066981974989
33	0.825	-0.00174229242838919	-0.573066981974989
34	0.85	-0.00174229242838919	-0.573066981974989
35	0.875	-0.00174229242838919	-0.573066981974989
36	0.9	-0.00174229242838919	-0.573066981974989
37	0.925	-0.00174229242838919	-0.573066981974989
38	0.95	-0.00174229242838919	-0.573066981974989
39	0.975	-0.00174229242838919	-0.573066981974989
40	1	-0.00174229242838919	-0.573066981974989
41	1.025	-0.00174229242838919	-0.573066981974989
42	1.05	-0.00174229242838919	-0.573066981974989
43	1.075	-0.00174229242838919	-0.573066981974989
44	1.1	-0.00174229242838919	-0.573066981974989
45	1.125	-0.00174229242838919	-0.573066981974989
46	1.15	-0.00174229242838919	-0.573066981974989
47	1.175	-0.00174229242838919	-0.573066981974989
48	1.2	-0.00174229242838919	-0.573066981974989
49	1.225	-0.00174229242838919	-0.573066981974989
50	1.25	-0.00174229242838919	-0.573066981974989
51	1.275	-0.00174229242838919	-0.571777309989557
52	1.3	-0.00174229242838919	-0.573066981974989
53	1.325	-0.00174229242838919	-0.573066981974989
54	1.35	-0.00174229242838919	-0.571777309989557
55	1.375	-0.00174229242838919	-0.573066981974989
56	1.4	-0.00174229242838919	-0.573066981974989
57	1.425	-0.00174229242838919	-0.573066981974989
58	1.45	-0.00174229242838919	-0.574356653960422
59	1.475	-0.00174229242838919	-0.573066981974989
60	1.5	-0.00174229242838919	-0.573066981974989
61	1.525	-0.00174229242838919	-0.573066981974989
62	1.55	-0.00174229242838919	-0.573066981974989
63	1.575	-0.00174229242838919	-0.573066981974989
64	1.6	-0.0030319644138217	-0.573066981974989
65	1.625	-0.00174229242838919	-0.573066981974989
66	1.65	-0.00174229242838919	-0.573066981974989
67	1.675	-0.00174229242838919	-0.573066981974989
68	1.7	-0.0030319644138217	-0.573066981974989
69	1.725	-0.00174229242838919	-0.573066981974989
70	1.75	-0.00174229242838919	-0.573066981974989
71	1.775	-0.00174229242838919	-0.573066981974989
72	1.8	-0.00174229242838919	-0.573066981974989
73	1.825	-0.00174229242838919	-0.573066981974989
74	1.85	-0.00174229242838919	-0.573066981974989
75	1.875	-0.00174229242838919	-0.573066981974989
76	1.9	-0.00174229242838919	-0.573066981974989
77	1.925	-0.00174229242838919	-0.571777309989557
78	1.95	-0.00174229242838919	-0.573066981974989
79	1.975	-0.00174229242838919	-0.573066981974989
80	2	-0.00174229242838919	-0.573066981974989
81	2.025	-0.00174229242838919	-0.573066981974989
82	2.05	-0.00174229242838919	-0.573066981974989
83	2.075	-0.00174229242838919	-0.573066981974989
84	2.1	-0.00174229242838919	-0.573066981974989
85	2.125	-0.00174229242838919	-0.573066981974989
86	2.15	-0.00174229242838919	-0.571777309989557
87	2.175	-0.00174229242838919	-0.573066981974989
88	2.2	-0.00174229242838919	-0.573066981974989
89	2.225	-0.00174229242838919	-0.573066981974989
90	2.25	-0.00174229242838919	-0.573066981974989
91	2.275	-0.00174229242838919	-0.573066981974989
92	2.3	-0.00174229242838919	-0.573066981974989
93	2.325	-0.00174229242838919	-0.573066981974989
94	2.35	-0.00174229242838919	-0.573066981974989
95	2.375	-0.00174229242838919	-0.573066981974989
96	2.4	-0.00174229242838919	-0.573066981974989
97	2.425	-0.00174229242838919	-0.573066981974989
98	2.45	-0.000452620442956686	-0.573066981974989
99	2.475	-0.00174229242838919	-0.573066981974989
100	2.5	-0.000452620442956686	-0.573066981974989
101	2.525	-0.00174229242838919	-0.573066981974989
102	2.55	-0.00174229242838919	-0.573066981974989
103	2.575	-0.00174229242838919	-0.573066981974989
104	2.6	-0.00174229242838919	-0.573066981974989
105	2.625	-0.00174229242838919	-0.571777309989557
106	2.65	-0.00174229242838919	-0.573066981974989
