Number of measurement points: 1098
Sample Rate (Hz): 20
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.00561130838468671	-0.28547012922354
1	0.05	-0.00561130838468671	-0.286759801208973
2	0.1	-0.00561130838468671	-0.286759801208973
3	0.15	-0.00561130838468671	-0.286759801208973
4	0.2	-0.0043216363992542	-0.286759801208973
5	0.25	-0.00561130838468671	-0.286759801208973
6	0.3	-0.0043216363992542	-0.286759801208973
7	0.35	-0.00561130838468671	-0.286759801208973
8	0.4	-0.0043216363992542	-0.286759801208973
9	0.45	-0.0043216363992542	-0.286759801208973
10	0.5	-0.0043216363992542	-0.286759801208973
11	0.55	-0.0043216363992542	-0.286759801208973
12	0.6	-0.0043216363992542	-0.286759801208973
13	0.65	-0.0043216363992542	-0.286759801208973
14	0.7	-0.0043216363992542	-0.286759801208973
15	0.75	-0.0043216363992542	-0.28547012922354
16	0.8	-0.00561130838468671	-0.286759801208973
17	0.85	-0.0043216363992542	-0.286759801208973
18	0.9	-0.00561130838468671	-0.28547012922354
19	0.95	-0.0043216363992542	-0.286759801208973
20	1	-0.00561130838468671	-0.286759801208973
21	1.05	-0.0043216363992542	-0.286759801208973
22	1.1	-0.00561130838468671	-0.28547012922354
23	1.15	-0.00561130838468671	-0.286759801208973
24	1.2	-0.0043216363992542	-0.286759801208973
25	1.25	-0.00561130838468671	-0.286759801208973
26	1.3	-0.0043216363992542	-0.28547012922354
27	1.35	-0.0043216363992542	-0.286759801208973
28	1.4	-0.00561130838468671	-0.286759801208973
29	1.45	-0.00561130838468671	-0.28547012922354
30	1.5	-0.00561130838468671	-0.286759801208973
31	1.55	-0.00561130838468671	-0.286759801208973
32	1.6	-0.0043216363992542	-0.28547012922354
33	1.65	-0.0043216363992542	-0.286759801208973
34	1.7	-0.0043216363992542	-0.28547012922354
35	1.75	-0.00561130838468671	-0.286759801208973
36	1.8	-0.0043216363992542	-0.28547012922354
37	1.85	-0.0043216363992542	-0.28547012922354
38	1.9	-0.0043216363992542	-0.28547012922354
39	1.95	-0.00561130838468671	-0.28547012922354
40	2	-0.00561130838468671	-0.286759801208973
41	2.05	-0.0043216363992542	-0.28547012922354
42	2.1	-0.0043216363992542	-0.28547012922354
43	2.15	-0.00561130838468671	-0.286759801208973
44	2.2	-0.0043216363992542	-0.28547012922354
45	2.25	-0.0043216363992542	-0.28547012922354
46	2.3	-0.00561130838468671	-0.286759801208973
47	2.35	-0.0043216363992542	-0.286759801208973
48	2.4	-0.0043216363992542	-0.28547012922354
49	2.45	-0.00561130838468671	-0.286759801208973
50	2.5	-0.00561130838468671	-0.28547012922354
51	2.55	-0.0043216363992542	-0.286759801208973
52	2.6	-0.0043216363992542	-0.28547012922354
53	2.65	-0.0043216363992542	-0.286759801208973
54	2.7	-0.00561130838468671	-0.286759801208973
55	2.75	-0.0043216363992542	-0.286759801208973
56	2.8	-0.0043216363992542	-0.286759801208973
57	2.85	-0.0043216363992542	-0.286759801208973
58	2.9	-0.0043216363992542	-0.286759801208973
59	2.95	-0.0030319644138217	-0.28547012922354
60	3	-0.0043216363992542	-0.286759801208973
61	3.05	-0.0043216363992542	-0.286759801208973
62	3.1	-0.0043216363992542	-0.286759801208973
63	3.15	-0.0043216363992542	-0.286759801208973
64	3.2	-0.0030319644138217	-0.286759801208973
65	3.25	-0.0043216363992542	-0.286759801208973
66	3.3	-0.0043216363992542	-0.28547012922354
67	3.35	-0.0043216363992542	-0.286759801208973
68	3.4	-0.0043216363992542	-0.286759801208973
69	3.45	-0.0030319644138217	-0.286759801208973
70	3.5	-0.0043216363992542	-0.286759801208973
71	3.55	-0.0030319644138217	-0.286759801208973
72	3.6	-0.0030319644138217	-0.286759801208973
73	3.65	-0.0030319644138217	-0.286759801208973
74	3.7	-0.0043216363992542	-0.286759801208973
75	3.75	-0.0043216363992542	-0.286759801208973
76	3.8	-0.0030319644138217	-0.286759801208973
77	3.85	-0.0043216363992542	-0.28547012922354
78	3.9	-0.0043216363992542	-0.286759801208973
79	3.95	-0.00561130838468671	-0.286759801208973
80	4	-0.00561130838468671	-0.286759801208973
81	4.05	-0.00561130838468671	-0.286759801208973
82	4.1	-0.00561130838468671	-0.286759801208973
83	4.15	-0.00561130838468671	-0.286759801208973
84	4.2	-0.00561130838468671	-0.286759801208973
85	4.25	-0.00690098037011921	-0.286759801208973
86	4.3	-0.00690098037011921	-0.286759801208973
87	4.35	-0.00690098037011921	-0.286759801208973
88	4.4	-0.0043216363992542	-0.28547012922354
89	4.45	-0.00561130838468671	-0.286759801208973
90	4.5	-0.00561130838468671	-0.286759801208973
91	4.55	-0.0043216363992542	-0.28547012922354
92	4.6	-0.00561130838468671	-0.286759801208973
93	4.65	-0.0043216363992542	-0.286759801208973
94	4.7	-0.0043216363992542	-0.28547012922354
95	4.75	-0.0043216363992542	-0.28547012922354
96	4.8	-0.0043216363992542	-0.286759801208973
97	4.85	-0.0043216363992542	-0.286759801208973
98	4.9	-0.0043216363992542	-0.286759801208973
99	4.95	-0.0043216363992542	-0.286759801208973
100	5	-0.0043216363992542	-0.28547012922354
101	5.05	-0.00561130838468671	-0.286759801208973
102	5.1	-0.00561130838468671	-0.286759801208973
103	5.15	-0.00561130838468671	-0.28547012922354
104	5.2	-0.00561130838468671	-0.286759801208973
105	5.25	-0.00561130838468671	-0.28547012922354
106	5.3	-0.00690098037011921	-0.28547012922354
107	5.35	-0.00561130838468671	-0.28547012922354
108	5.4	-0.00561130838468671	-0.286759801208973
109	5.45	-0.0043216363992542	-0.286759801208973
110	5.5	-0.00561130838468671	-0.286759801208973
111	5.55	-0.00561130838468671	-0.286759801208973
112	5.6	-0.00561130838468671	-0.286759801208973
113	5.65	-0.00561130838468671	-0.28547012922354
114	5.7	-0.00561130838468671	-0.286759801208973
115	5.75	-0.00561130838468671	-0.286759801208973
116	5.8	-0.00561130838468671	-0.286759801208973
117	5.85	-0.00561130838468671	-0.28547012922354
118	5.9	-0.00561130838468671	-0.286759801208973
119	5.95	-0.00561130838468671	-0.286759801208973
120	6	-0.00561130838468671	-0.286759801208973
121	6.05	-0.00561130838468671	-0.286759801208973
122	6.1	-0.00561130838468671	-0.286759801208973
123	6.15	-0.00561130838468671	-0.28547012922354
124	6.2	-0.00561130838468671	-0.286759801208973
125	6.25	-0.00561130838468671	-0.286759801208973
126	6.3	-0.00561130838468671	-0.286759801208973
127	6.35	-0.00561130838468671	-0.286759801208973
128	6.4	-0.00561130838468671	-0.286759801208973
129	6.45	-0.00561130838468671	-0.286759801208973
130	6.5	-0.00561130838468671	-0.286759801208973
131	6.55	-0.00561130838468671	-0.28547012922354
132	6.6	-0.00561130838468671	-0.28547012922354
133	6.65	-0.00561130838468671	-0.28547012922354
134	6.7	-0.0043216363992542	-0.28547012922354
135	6.75	-0.0043216363992542	-0.286759801208973
136	6.8	-0.00561130838468671	-0.286759801208973
137	6.85	-0.00561130838468671	-0.28547012922354
138	6.9	-0.00561130838468671	-0.28547012922354
139	6.95	-0.00561130838468671	-0.286759801208973
140	7	-0.00561130838468671	-0.286759801208973
141	7.05	-0.00561130838468671	-0.28547012922354
142	7.1	-0.00561130838468671	-0.286759801208973
143	7.15	-0.00561130838468671	-0.286759801208973
144	7.2	-0.00561130838468671	-0.286759801208973
145	7.25	-0.0043216363992542	-0.286759801208973
146	7.3	-0.00561130838468671	-0.286759801208973
147	7.35	-0.00561130838468671	-0.286759801208973
148	7.4	-0.0043216363992542	-0.286759801208973
149	7.45	-0.00561130838468671	-0.28547012922354
150	7.5	-0.00561130838468671	-0.286759801208973
151	7.55	-0.0043216363992542	-0.286759801208973
152	7.6	-0.0030319644138217	-0.28547012922354
153	7.65	-0.0030319644138217	-0.286759801208973
154	7.7	-0.0030319644138217	-0.286759801208973
155	7.75	-0.0030319644138217	-0.286759801208973
156	7.8	-0.0030319644138217	-0.28547012922354
157	7.85	-0.0043216363992542	-0.286759801208973
158	7.9	-0.0030319644138217	-0.28547012922354
159	7.95	-0.00174229242838919	-0.286759801208973
160	8	-0.00174229242838919	-0.286759801208973
161	8.05	-0.00174229242838919	-0.286759801208973
162	8.1	-0.00174229242838919	-0.286759801208973
163	8.15	-0.00174229242838919	-0.286759801208973
164	8.2	-0.00174229242838919	-0.286759801208973
165	8.25	-0.00174229242838919	-0.286759801208973
166	8.3	-0.00174229242838919	-0.28547012922354
167	8.35	-0.00174229242838919	-0.286759801208973
168	8.4	-0.00174229242838919	-0.286759801208973
169	8.45	-0.00174229242838919	-0.286759801208973
170	8.5	-0.00174229242838919	-0.28547012922354
171	8.55	-0.00174229242838919	-0.286759801208973
172	8.6	-0.00174229242838919	-0.286759801208973
173	8.65	-0.00174229242838919	-0.286759801208973
174	8.7	-0.00174229242838919	-0.28547012922354
175	8.75	-0.00174229242838919	-0.286759801208973
176	8.8	-0.0030319644138217	-0.28547012922354
177	8.85	-0.00174229242838919	-0.286759801208973
178	8.9	-0.00174229242838919	-0.286759801208973
179	8.95	-0.00174229242838919	-0.286759801208973
180	9	-0.0030319644138217	-0.286759801208973
181	9.05	-0.0030319644138217	-0.28547012922354
182	9.1	-0.00174229242838919	-0.286759801208973
183	9.15	-0.0030319644138217	-0.286759801208973
184	9.2	-0.0030319644138217	-0.286759801208973
185	9.25	-0.0030319644138217	-0.286759801208973
186	9.3	-0.00174229242838919	-0.286759801208973
187	9.35	-0.00174229242838919	-0.28547012922354
188	9.4	-0.00174229242838919	-0.28547012922354
189	9.45	-0.00174229242838919	-0.286759801208973
190	9.5	-0.0030319644138217	-0.286759801208973
191	9.55	-0.0030319644138217	-0.286759801208973
192	9.6	-0.0030319644138217	-0.28547012922354
193	9.65	-0.0030319644138217	-0.28547012922354
194	9.7	-0.0030319644138217	-0.286759801208973
195	9.75	-0.0030319644138217	-0.286759801208973
196	9.8	-0.0030319644138217	-0.286759801208973
197	9.85	-0.0030319644138217	-0.28547012922354
198	9.9	-0.0030319644138217	-0.286759801208973
199	9.95	-0.0030319644138217	-0.28547012922354
200	10	-0.0030319644138217	-0.286759801208973
201	10.05	-0.0030319644138217	-0.286759801208973
202	10.1	-0.0043216363992542	-0.28547012922354
203	10.15	-0.0030319644138217	-0.286759801208973
204	10.2	-0.0030319644138217	-0.286759801208973
205	10.25	-0.0030319644138217	-0.28547012922354
206	10.3	-0.0030319644138217	-0.28547012922354
207	10.35	-0.0030319644138217	-0.286759801208973
208	10.4	-0.0030319644138217	-0.28547012922354
209	10.45	-0.0043216363992542	-0.28547012922354
210	10.5	-0.0030319644138217	-0.286759801208973
211	10.55	-0.0030319644138217	-0.28547012922354
212	10.6	-0.0030319644138217	-0.286759801208973
213	10.65	-0.0030319644138217	-0.28547012922354
214	10.7	-0.0030319644138217	-0.286759801208973
215	10.75	-0.0043216363992542	-0.286759801208973
216	10.8	-0.0030319644138217	-0.286759801208973
217	10.85	-0.0030319644138217	-0.286759801208973
218	10.9	-0.0030319644138217	-0.286759801208973
219	10.95	-0.0030319644138217	-0.286759801208973
220	11	-0.0030319644138217	-0.286759801208973
221	11.05	-0.0030319644138217	-0.286759801208973
222	11.1	-0.0043216363992542	-0.286759801208973
223	11.15	-0.0030319644138217	-0.28547012922354
224	11.2	-0.0043216363992542	-0.286759801208973
225	11.25	-0.0043216363992542	-0.286759801208973
226	11.3	-0.0043216363992542	-0.286759801208973
227	11.35	-0.0043216363992542	-0.286759801208973
228	11.4	-0.0043216363992542	-0.286759801208973
229	11.45	-0.0043216363992542	-0.28547012922354
230	11.5	-0.0043216363992542	-0.28547012922354
231	11.55	-0.0030319644138217	-0.286759801208973
232	11.6	-0.0043216363992542	-0.28547012922354
233	11.65	-0.00561130838468671	-0.28547012922354
234	11.7	-0.0043216363992542	-0.28547012922354
235	11.75	-0.0043216363992542	-0.28547012922354
236	11.8	-0.0043216363992542	-0.286759801208973
237	11.85	-0.0043216363992542	-0.286759801208973
238	11.9	-0.0043216363992542	-0.286759801208973
239	11.95	-0.0043216363992542	-0.286759801208973
240	12	-0.0043216363992542	-0.286759801208973
241	12.05	-0.0043216363992542	-0.286759801208973
242	12.1	-0.0043216363992542	-0.28547012922354
243	12.15	-0.0043216363992542	-0.286759801208973
244	12.2	-0.0043216363992542	-0.28547012922354
245	12.25	-0.0043216363992542	-0.28547012922354
246	12.3	-0.0043216363992542	-0.28547012922354
247	12.35	-0.0043216363992542	-0.286759801208973
248	12.4	-0.0043216363992542	-0.286759801208973
249	12.45	-0.0043216363992542	-0.286759801208973
250	12.5	-0.0043216363992542	-0.286759801208973
251	12.55	-0.0043216363992542	-0.286759801208973
252	12.6	-0.0043216363992542	-0.286759801208973
253	12.65	-0.0043216363992542	-0.28547012922354
254	12.7	-0.0043216363992542	-0.286759801208973
255	12.75	-0.0043216363992542	-0.28547012922354
256	12.8	-0.0030319644138217	-0.286759801208973
257	12.85	-0.0043216363992542	-0.286759801208973
258	12.9	-0.0043216363992542	-0.28547012922354
259	12.95	-0.0043216363992542	-0.28547012922354
260	13	-0.0043216363992542	-0.286759801208973
261	13.05	-0.0043216363992542	-0.28547012922354
262	13.1	-0.0043216363992542	-0.286759801208973
263	13.15	-0.0043216363992542	-0.28547012922354
264	13.2	-0.0043216363992542	-0.28547012922354
265	13.25	-0.0043216363992542	-0.28547012922354
266	13.3	-0.0043216363992542	-0.286759801208973
267	13.35	-0.0043216363992542	-0.28547012922354
268	13.4	-0.0030319644138217	-0.286759801208973
269	13.45	-0.0043216363992542	-0.286759801208973
270	13.5	-0.0043216363992542	-0.28547012922354
271	13.55	-0.0043216363992542	-0.28547012922354
272	13.6	-0.0043216363992542	-0.286759801208973
273	13.65	-0.0043216363992542	-0.28547012922354
274	13.7	-0.0043216363992542	-0.28547012922354
275	13.75	-0.0043216363992542	-0.286759801208973
276	13.8	-0.0043216363992542	-0.286759801208973
277	13.85	-0.0043216363992542	-0.286759801208973
278	13.9	-0.0043216363992542	-0.286759801208973
279	13.95	-0.0043216363992542	-0.286759801208973
280	14	-0.0043216363992542	-0.286759801208973
281	14.05	-0.0043216363992542	-0.286759801208973
282	14.1	-0.0043216363992542	-0.286759801208973
283	14.15	-0.0043216363992542	-0.28547012922354
284	14.2	-0.0043216363992542	-0.286759801208973
285	14.25	-0.0043216363992542	-0.28547012922354
286	14.3	-0.0043216363992542	-0.28547012922354
287	14.35	-0.0043216363992542	-0.286759801208973
288	14.4	-0.0043216363992542	-0.28547012922354
289	14.45	-0.0043216363992542	-0.286759801208973
290	14.5	-0.00561130838468671	-0.286759801208973
291	14.55	-0.0043216363992542	-0.286759801208973
292	14.6	-0.0043216363992542	-0.286759801208973
293	14.65	-0.0043216363992542	-0.286759801208973
294	14.7	-0.0043216363992542	-0.286759801208973
295	14.75	-0.0043216363992542	-0.286759801208973
296	14.8	-0.0030319644138217	-0.286759801208973
297	14.85	-0.0043216363992542	-0.286759801208973
298	14.9	-0.0043216363992542	-0.286759801208973
299	14.95	-0.0030319644138217	-0.286759801208973
300	15	-0.0043216363992542	-0.28547012922354
301	15.05	-0.0043216363992542	-0.286759801208973
302	15.1	-0.0043216363992542	-0.28547012922354
303	15.15	-0.0043216363992542	-0.286759801208973
304	15.2	-0.0043216363992542	-0.286759801208973
305	15.25	-0.0043216363992542	-0.28547012922354
306	15.3	-0.0043216363992542	-0.286759801208973
307	15.35	-0.0043216363992542	-0.286759801208973
308	15.4	-0.0043216363992542	-0.28547012922354
309	15.45	-0.0043216363992542	-0.286759801208973
310	15.5	-0.0043216363992542	-0.286759801208973
311	15.55	-0.0043216363992542	-0.286759801208973
312	15.6	-0.0043216363992542	-0.286759801208973
313	15.65	-0.0043216363992542	-0.286759801208973
314	15.7	-0.0043216363992542	-0.28547012922354
315	15.75	-0.0043216363992542	-0.28547012922354
316	15.8	-0.0043216363992542	-0.286759801208973
317	15.85	-0.0043216363992542	-0.28547012922354
318	15.9	-0.0030319644138217	-0.286759801208973
319	15.95	-0.0043216363992542	-0.28547012922354
320	16	-0.0043216363992542	-0.286759801208973
321	16.05	-0.0043216363992542	-0.286759801208973
322	16.1	-0.0043216363992542	-0.28547012922354
323	16.15	-0.0043216363992542	-0.28547012922354
324	16.2	-0.0043216363992542	-0.28547012922354
325	16.25	-0.0043216363992542	-0.286759801208973
326	16.3	-0.0043216363992542	-0.286759801208973
327	16.35	-0.00561130838468671	-0.286759801208973
328	16.4	-0.0030319644138217	-0.286759801208973
329	16.45	-0.0043216363992542	-0.286759801208973
330	16.5	-0.0043216363992542	-0.28547012922354
331	16.55	-0.0043216363992542	-0.286759801208973
332	16.6	-0.0043216363992542	-0.28547012922354
333	16.65	-0.0043216363992542	-0.286759801208973
334	16.7	-0.0043216363992542	-0.28547012922354
335	16.75	-0.0043216363992542	-0.28547012922354
336	16.8	-0.0043216363992542	-0.286759801208973
337	16.85	-0.0043216363992542	-0.286759801208973
338	16.9	-0.0043216363992542	-0.286759801208973
339	16.95	-0.0043216363992542	-0.286759801208973
340	17	-0.0043216363992542	-0.28547012922354
341	17.05	-0.0043216363992542	-0.28547012922354
342	17.1	-0.0043216363992542	-0.286759801208973
343	17.15	-0.0043216363992542	-0.286759801208973
344	17.2	-0.0043216363992542	-0.28547012922354
345	17.25	-0.0043216363992542	-0.28547012922354
346	17.3	-0.0043216363992542	-0.28547012922354
347	17.35	-0.0043216363992542	-0.28547012922354
348	17.4	-0.0043216363992542	-0.28547012922354
349	17.45	-0.0043216363992542	-0.28547012922354
350	17.5	-0.0043216363992542	-0.28547012922354
351	17.55	-0.0043216363992542	-0.286759801208973
352	17.6	-0.0043216363992542	-0.286759801208973
353	17.65	-0.0043216363992542	-0.286759801208973
354	17.7	-0.0043216363992542	-0.286759801208973
355	17.75	-0.0043216363992542	-0.286759801208973
356	17.8	-0.0043216363992542	-0.28547012922354
357	17.85	-0.0043216363992542	-0.28547012922354
358	17.9	-0.0043216363992542	-0.286759801208973
359	17.95	-0.0043216363992542	-0.286759801208973
360	18	-0.0043216363992542	-0.286759801208973
361	18.05	-0.0043216363992542	-0.28547012922354
362	18.1	-0.0030319644138217	-0.286759801208973
363	18.15	-0.0043216363992542	-0.286759801208973
364	18.2	-0.0043216363992542	-0.286759801208973
365	18.25	-0.0043216363992542	-0.286759801208973
366	18.3	-0.0043216363992542	-0.286759801208973
367	18.35	-0.0043216363992542	-0.28547012922354
368	18.4	-0.0043216363992542	-0.286759801208973
369	18.45	-0.0043216363992542	-0.286759801208973
370	18.5	-0.0043216363992542	-0.286759801208973
371	18.55	-0.0043216363992542	-0.286759801208973
372	18.6	-0.0043216363992542	-0.286759801208973
373	18.65	-0.0043216363992542	-0.28547012922354
374	18.7	-0.0043216363992542	-0.28547012922354
375	18.75	-0.0043216363992542	-0.286759801208973
376	18.8	-0.0043216363992542	-0.286759801208973
377	18.85	-0.0043216363992542	-0.28547012922354
378	18.9	-0.0043216363992542	-0.28547012922354
379	18.95	-0.0043216363992542	-0.286759801208973
380	19	-0.0043216363992542	-0.28547012922354
381	19.05	-0.0043216363992542	-0.286759801208973
382	19.1	-0.0043216363992542	-0.286759801208973
383	19.15	-0.0043216363992542	-0.28547012922354
384	19.2	-0.00561130838468671	-0.286759801208973
385	19.25	-0.0043216363992542	-0.28547012922354
386	19.3	-0.0043216363992542	-0.286759801208973
387	19.35	-0.0043216363992542	-0.28547012922354
388	19.4	-0.0043216363992542	-0.286759801208973
389	19.45	-0.0043216363992542	-0.286759801208973
390	19.5	-0.0043216363992542	-0.28547012922354
391	19.55	-0.0043216363992542	-0.286759801208973
392	19.6	-0.0043216363992542	-0.28547012922354
393	19.65	-0.0043216363992542	-0.286759801208973
394	19.7	-0.0043216363992542	-0.286759801208973
395	19.75	-0.0043216363992542	-0.286759801208973
396	19.8	-0.0043216363992542	-0.28547012922354
397	19.85	-0.0043216363992542	-0.28547012922354
398	19.9	-0.0043216363992542	-0.286759801208973
399	19.95	-0.0043216363992542	-0.286759801208973
400	20	-0.0043216363992542	-0.286759801208973
401	20.05	-0.0043216363992542	-0.286759801208973
402	20.1	-0.0043216363992542	-0.28547012922354
403	20.15	-0.00561130838468671	-0.286759801208973
404	20.2	-0.0043216363992542	-0.286759801208973
405	20.25	-0.0043216363992542	-0.28547012922354
406	20.3	-0.0043216363992542	-0.286759801208973
407	20.35	-0.0043216363992542	-0.286759801208973
408	20.4	-0.0043216363992542	-0.28547012922354
409	20.45	-0.0043216363992542	-0.28547012922354
410	20.5	-0.0043216363992542	-0.28547012922354
411	20.55	-0.0043216363992542	-0.286759801208973
412	20.6	-0.0043216363992542	-0.286759801208973
413	20.65	-0.0043216363992542	-0.28547012922354
414	20.7	-0.0043216363992542	-0.286759801208973
415	20.75	-0.0030319644138217	-0.286759801208973
416	20.8	-0.0043216363992542	-0.28547012922354
417	20.85	-0.0043216363992542	-0.28547012922354
418	20.9	-0.0043216363992542	-0.286759801208973
419	20.95	-0.0043216363992542	-0.286759801208973
420	21	-0.0043216363992542	-0.28547012922354
421	21.05	-0.0043216363992542	-0.28547012922354
422	21.1	-0.0043216363992542	-0.28547012922354
423	21.15	-0.0043216363992542	-0.28547012922354
424	21.2	-0.0043216363992542	-0.286759801208973
425	21.25	-0.0030319644138217	-0.28547012922354
426	21.3	-0.0043216363992542	-0.28547012922354
427	21.35	-0.0030319644138217	-0.28547012922354
428	21.4	-0.0043216363992542	-0.28547012922354
429	21.45	-0.0043216363992542	-0.28547012922354
430	21.5	-0.0043216363992542	-0.286759801208973
431	21.55	-0.0030319644138217	-0.286759801208973
432	21.6	-0.0043216363992542	-0.28547012922354
433	21.65	-0.0043216363992542	-0.286759801208973
434	21.7	-0.0043216363992542	-0.28547012922354
435	21.75	-0.0043216363992542	-0.286759801208973
436	21.8	-0.0043216363992542	-0.28547012922354
437	21.85	-0.0043216363992542	-0.286759801208973
438	21.9	-0.0043216363992542	-0.286759801208973
439	21.95	-0.0043216363992542	-0.28547012922354
440	22	-0.0043216363992542	-0.28547012922354
441	22.05	-0.0043216363992542	-0.28547012922354
